1060,a,introcob reset,introcob,,
1266,a,introcob,,,
1375,s,introcob,,,
1568,a,introcob,wait 200 introcob off,,
3146,a,introcob,,,
3293,a,introcob,,,
3469,s,introcob,,,
3632,a,introcob,wait 200 introcob off,,
5457,a,introcob,,,
5600,a,introcob,,,
5752,s,introcob,,,
6027,a,introcob,wait 200 introcob off,,
7735,a,introcob,,,
7897,a,introcob,,,
8047,s,introcob,,,
8332,a,introcob,wait 200 introcob off,,
10043,a,introcob,,,
10195,a,introcob,,,
10323,s,introcob,,,
10558,a,introcob,wait 200 introcob off,,
12195,a,introcob,,,
12360,a,introcob,,,
12483,s,introcob,,,
12775,a,introcob,wait 200 introcob off,,
14437,a,introcob,,,
14601,a,introcob,,,
14725,s,introcob,,,
14975,a,introcob,wait 200 introcob off,,
16630,a,introcob,,,
16798,a,introcob,,,
16900,s,introcob,,,
17200,a,introcob,wait 200 introcob off,,
18897,a,introcob,,,
19060,a,introcob,,,
19207,s,introcob,,,
19479,a,introcob,wait 200 introcob off,,
21156,a,introcob,,,
21321,a,introcob,,,
21439,s,introcob,,,
21728,a,introcob,wait 200 introcob off,,
23396,a,introcob,,,
23549,a,introcob,,,
23736,s,introcob,,,
24039,a,introcob,wait 200 introcob off,,
25603,a,introcob,,,
25750,a,introcob,,,
25889,s,introcob,,,
26178,a,introcob,wait 200 introcob off,,
27915,g,cob reset,cob,,
28149,f,cob,,,
28272,g,cob,,,
28436,d,cob,wait 200 cob off,,
34810,g,cob,,,
34928,f,cob,,,
35110,g,cob,,,
35211,d,cob,wait 200 cob off,,
37980,g,cob,,,
38267,f,cob,,,
38390,g,cob,,,
38525,d,cob,wait 200 cob off,,
41438,g,cob,,,
41613,f,cob,,,
41796,g,cob,,,
41907,d,cob,wait 200 cob off,,
44762,g,cob,,,
45031,f,cob,,,
45165,g,cob,,,
45287,d,cob,wait 200 cob off,,
47600,startchorus,,,,
48150,h,chorus 8,,,
48413,j,chorus same,,,
48544,j,chorus same,,,
48685,j,chorus 7,,,
48839,j,chorus 6,,,
48976,h,chorus 5,,,
49217,j,chorus same,,,
49368,j,chorus 5 same,,,
49504,j,chorus 4,,,
49633,j,chorus 3,,,
49775,h,chorus 4,,,
50034,j,chorus same,,,
50176,j,chorus same,,,
50318,j,chorus 5,,,
50472,j,chorus 4,,,
50643,h,chorus 3,,,
50895,j,chorus 2,,,
51157,j,chorus 1,,,
51452,a,chorus 7,,,
51719,j,chorus same,,,
51873,j,chorus same,,,
52015,j,chorus 6,,,
52169,j,chorus 5,,,
